;Cristo Redentor;Jardim Botanico;Praia de Ipanema;Parque Lage;Praia do Arpoador;Maracana;Praia da Barra da Tijuca;Centro Cultural Banco do Brasil;Museu do Amanhã;AquaRio;Escadaria Selarón;Forte de Copacabana;Santa Teresa;Praia da Reserva;Pedra da Gávea;Pedra do Telégrafo;Prainha Beach;Morro Dois Irmãos;Mosteiro De São Bento;Mirante Dona Marta;Theatro Municipal do Rio de Janeiro;Parque Nacional da Tijuca;Real Gabinete Português Da Leitura;Praia do Grumari;Pedra Bonita;Praia Da Joatinga;Centro Cultural Jerusalém;Bondinho de Santa Teresa;Ilha Da Gigóia;Pedra do Sal
Cristo Redentor;0;69;94;50;109;120;294;137;140;143;113;117;112;327;229;594;474;375;143;54;119;221;124;510;188;206;211;124;234;133
Jardim Botanico;96;0;49;32;63;167;248;139;157;162;114;70;126;281;250;549;428;364;159;103;125;244;133;465;178;161;278;127;198;155
Praia de Ipanema;145;48;0;69;16;187;235;158;176;182;134;25;146;268;253;535;415;351;178;151;145;289;153;451;185;147;298;146;184;174
Parque Lage;88;27;63;0;79;163;265;134;152;157;110;83;121;298;283;565;445;381;154;104;120;270;129;481;215;178;274;122;214;150
Praia do Arpoador;161;64;18;85;0;177;252;148;165;171;123;11;135;285;270;552;432;368;168;173;134;305;142;468;202;164;287;136;201;163
Maracana;181;182;207;185;192;0;282;70;74;57;68;185;76;315;217;592;471;278;76;128;73;141;63;508;176;234;91;68;221;66
Praia da Barra da Tijuca;344;251;234;273;250;303;0;347;378;360;356;259;367;33;171;300;180;141;380;350;366;240;334;216;174;114;293;337;85;343
Centro Cultural Banco do Brasil;202;136;160;139;146;69;342;0;13;24;27;139;40;376;277;661;540;347;15;148;15;209;11;577;237;286;156;16;282;15
Museu do Amanhã;209;149;174;152;159;75;349;14;0;18;36;152;48;382;284;665;544;350;3;156;27;215;21;581;243;300;151;30;289;10
AquaRio;204;153;178;156;163;56;331;25;17;0;39;156;51;364;266;646;525;331;19;151;37;196;24;562;225;284;133;34;271;11
Escadaria Selarón;169;113;137;116;123;67;336;25;37;43;0;116;11;369;271;659;538;345;39;116;14;207;18;575;230;263;159;11;275;35
Forte de Copacabana;167;71;26;87;10;189;260;140;158;164;116;0;128;293;278;561;440;376;161;168;127;311;135;477;210;173;280;128;210;156
Santa Teresa;168;119;144;122;129;72;340;38;42;47;7;122;0;373;275;663;543;349;44;115;21;212;23;579;234;270;163;18;280;39
Praia da Reserva;372;279;262;301;277;320;27;389;394;376;387;287;395;0;199;286;166;152;396;378;392;256;382;202;202;142;309;387;113;385
Pedra da Gávea;241;179;177;216;193;183;131;244;247;233;234;202;242;164;0;432;311;217;249;247;239;165;231;348;34;51;246;234;71;240
Pedra do Telégrafo;624;531;513;552;529;572;279;641;645;628;639;539;647;245;451;0;98;325;648;630;644;492;634;61;454;394;511;639;365;636
Prainha Beach;525;432;415;453;430;473;180;542;546;529;540;440;548;146;352;120;0;226;549;531;545;393;535;36;355;295;412;540;266;537
Morro Dois Irmãos;416;360;343;382;359;275;141;344;348;330;342;368;350;174;247;342;221;0;350;402;347;213;336;258;285;215;214;342;180;339
Mosteiro De São Bento;201;145;170;148;155;86;359;17;29;40;34;148;48;392;294;678;557;363;0;148;21;225;26;594;253;296;172;23;299;31
Mirante Dona Marta;75;105;131;86;155;109;321;125;129;131;95;148;100;354;256;622;501;386;131;0;105;248;112;538;215;243;200;113;261;122
Theatro Municipal do Rio de Janeiro;178;122;146;125;132;71;340;14;24;35;11;125;27;373;275;666;545;351;26;125;0;214;12;582;234;272;165;4;279;26
Parque Nacional da Tijuca;219;210;246;231;262;112;188;180;184;168;178;295;186;221;157;458;338;168;186;233;183;0;173;374;117;204;134;178;168;176
Real Gabinete Português Da Leitura;190;130;154;133;140;63;332;14;20;27;16;133;29;366;267;654;534;340;22;137;13;202;0;570;226;280;154;10;272;19
Praia do Grumari;562;469;452;491;468;511;218;580;584;566;578;477;586;184;390;84;37;263;586;569;583;431;573;0;392;333;450;578;303;575
Pedra Bonita;198;146;144;183;160;141;174;201;205;190;191;169;199;207;58;474;353;255;207;204;196;122;188;390;0;78;203;191;113;197
Praia Da Joatinga;259;162;145;184;161;235;112;291;309;285;267;170;278;145;120;412;291;218;311;265;277;217;285;328;117;0;304;279;51;307
Centro Cultural Jerusalém;269;269;294;272;279;88;297;159;150;132;155;272;163;330;279;530;410;216;152;215;160;163;149;446;238;300;0;155;264;141
Bondinho de Santa Teresa;188;125;149;128;135;68;336;17;29;40;11;128;25;369;271;662;541;348;31;134;6;210;10;578;230;275;161;0;276;32
Ilha Da Gigóia;284;201;184;223;199;226;86;286;290;276;277;209;285;119;112;386;266;185;292;290;282;208;274;302;154;55;271;277;0;282
Pedra do Sal;199;146;170;149;156;66;339;16;9;11;32;149;44;372;274;654;534;340;11;145;30;205;17;570;233;291;141;26;279;0
